SA,M,P,SP,Quality
17,C,P1,low,0
18,C,P2,low,3
19,C,P3,low,3
20,C,P4,low,1
21,C,P5,low,1
22,C,P6,low,2
23,C,P7,low,3
24,C,P8,low,1
49,C,P1,high,1
50,C,P2,high,2
51,C,P3,high,1
52,C,P4,high,1
53,C,P5,high,1
54,C,P6,high,1
55,C,P7,high,3
56,C,P8,high,1
