SA,M,P,SP,Quality
25,D,P1,low,0
26,D,P2,low,3
27,D,P3,low,3
28,D,P4,low,2
29,D,P5,low,1
30,D,P6,low,3
31,D,P7,low,3
32,D,P8,low,1
57,D,P1,high,0
58,D,P2,high,2
59,D,P3,high,2
60,D,P4,high,2
61,D,P5,high,1
62,D,P6,high,2
63,D,P7,high,3
64,D,P8,high,1
