SA,Mean LPIPS,sd LPIPS,Mean RMSE,sd RMSE,Mean CIEDE2000,SD CIEDE2000,Model,Prompts,Strength,Quality
27,0.0250990680523588,0.00720343410360262,0.0893677901980039,0.0195448408795899,7.5306569494903,1.39884330593784,D ,P3,low,3
28,0.0321764974119637,0.0142328517154073,0.129303255395309,0.034712365866267,10.3864986853281,3.35616950527226,D ,P4,low,2
29,0.0398810409658905,0.0133773568467305,0.0838876595166889,0.0200636063887804,6.07388955981535,0.800243809480196,D ,P5,low,1
30,0.0273514911513424,0.0106761650047855,0.0907840541488416,0.0221157800132852,7.63291083720198,1.84814233459054,D ,P6,low,3
31,0.0255547152436109,0.010404834694011,0.0829593178790969,0.0215863688920056,7.1507891546637,1.4673835319788,D ,P7,low,3
32,0.0234961238503536,0.00908590330334367,0.0808514068658287,0.0190179154315724,5.35215823406667,0.965243558293399,D ,P8,low,1
33,0.0220516575156417,0.00917954924359282,0.100040588427234,0.0229278146176138,6.62986366554312,1.928746510518,A ,P1,high,1
34,0.0323016130540629,0.0130559887339468,0.116863332688808,0.0235098059823556,8.23374583723089,1.23864501581489,A ,P2,high,1
35,0.0253631041187262,0.00823807647090855,0.110690032106799,0.0186501581798939,9.15249329195579,1.25794154077651,A ,P3,high,3
36,0.0274698709398636,0.0129144840670943,0.110475204482272,0.0203245588497816,8.766730232741,2.28907301114107,A ,P4,high,2
37,0.0315363162308444,0.013986293196971,0.104504535729821,0.020852481688787,6.76612273529567,1.04507510532311,A ,P5,high,1
38,0.021794518232851,0.00946427510905237,0.110757841653115,0.0188007326687162,9.45419797737076,1.42791632669931,A ,P6,high,2
39,0.0210167684117056,0.00602608493496273,0.102200026548392,0.0271772304351647,6.48464626957396,1.12984356581185,A ,P7,high,2
40,0.0206695046138613,0.00923175640300159,0.0932904483901488,0.0154916577339066,5.11166032222465,1.04582765470167,A ,P8,high,1
41,0.0369772910682802,0.0115609875233636,0.105208327579829,0.0323004057718139,8.09324664612457,1.94294228430779,B ,P1,high,1
42,0.0484176865700329,0.014454039403176,0.104655826671256,0.025557686858099,7.99735828366798,1.56185851754006,B ,P2,high,2
43,0.0362647862143435,0.0107597840406345,0.11040063140293,0.028184688399457,8.56275342501373,1.36469270682956,B ,P3,high,2
44,0.0260981785589903,0.0114868962508472,0.121433584019542,0.038064196115185,8.4406978970534,2.01282565183565,B ,P4,high,2
45,0.0575489602726145,0.0180295986307156,0.0969081065720982,0.0258934184246185,6.54066483454013,1.68196911297423,B ,P5,high,1
46,0.0434418824396931,0.0126471950050678,0.117684478975005,0.0323153019318139,9.6306185351816,2.18808370400126,B ,P6,high,1
47,0.0263391384897875,0.00947344866686165,0.0966890715062618,0.0242016948036728,8.19753609679934,1.16258284607619,B ,P7,high,2
48,0.0299480477201065,0.0110560969062845,0.0984715891795026,0.0298802595220804,5.98945015309823,1.38810319035698,B ,P8,high,1
49,0.0407255486053165,0.011902201882359,0.0900033930870327,0.0227711326410089,4.8731442158719,1.28239138772877,C ,P1,high,1
50,0.044026792127178,0.0152722136909436,0.0966939085440056,0.0219014841842775,6.89942742696095,0.944662616204034,C ,P2,high,2
51,0.0402149821801913,0.0133102759426961,0.101912925170886,0.0237773454716948,7.10561670725279,1.0306199517907,C ,P3,high,1
52,0.0249249595504475,0.0115835842917862,0.108082883261346,0.0248918573286261,8.22386386078761,1.52678644992565,C ,P4,high,1
53,0.0510415926686133,0.0173061352478396,0.0917314242672276,0.022044803549825,4.52726038071425,0.827284908502068,C ,P5,high,1
54,0.0448140917889153,0.0170373010577193,0.104841668662187,0.0241234158453475,5.98955905594816,1.25813821213932,C ,P6,high,1
55,0.0243371176073483,0.00965277798705596,0.0795907515126306,0.0198329390299568,4.55760264606228,0.752086516758045,C ,P7,high,3
56,0.0356613159238569,0.0118471493411533,0.0926290156470763,0.0209969456621556,4.77195661161138,0.938206607834962,C ,P8,high,1
57,0.0238230284631198,0.00865212849098536,0.089257601245835,0.0189531756470933,6.04212661428014,1.28737280696525,D ,P1,high,0
58,0.0308093941996333,0.0111448292804202,0.0964658212017369,0.0167256118921063,6.57373785410244,1.08147471040525,D ,P2,high,2
59,0.0278650469843663,0.00837694382870396,0.0936939748557838,0.0193999574548644,7.07731112636219,1.13619773925373,D ,P3,high,2
60,0.0336577846043734,0.0166880163095931,0.139561902026872,0.0391248292333454,11.5419074871211,3.62538620871145,D ,P4,high,2
61,0.0501857724279571,0.0151009211683713,0.103841379486226,0.0224222227856214,6.95573422125174,0.757960105655276,D ,P5,high,1
62,0.0298876078737039,0.0101565911067135,0.103070799362015,0.0215677794893295,7.44856978058714,1.61222778195762,D ,P6,high,2
63,0.0229113559904542,0.0071980445659972,0.0900526666963423,0.0199655078915521,7.47480979418965,1.22734762299429,D ,P7,high,3
64,0.0227238903920716,0.0091201568355263,0.0948533766173028,0.0212939374992413,6.05311548324877,1.10926608930154,D ,P8,high,1
