SA,M,P,SP,Quality
9,B,P1,low,1
10,B,P2,low,3
11,B,P3,low,3
12,B,P4,low,2
13,B,P5,low,2
14,B,P6,low,2
15,B,P7,low,3
16,B,P8,low,2
41,B,P1,high,1
42,B,P2,high,2
43,B,P3,high,2
44,B,P4,high,2
45,B,P5,high,1
46,B,P6,high,1
47,B,P7,high,2
48,B,P8,high,1
